icao24,callsign,latitude,longitude,altitude,velocity,timestamp
a8a87e,UAL928  ,48.552,-77.6964,11582.4,190.65,2024-10-03 19:18:57
3c5ef0,EWG16R  ,49.8412,2.9735,7665.72,199.54,2024-10-03 19:18:57
ac8fbd,N9083Z  ,42.8339,-76.4291,2758.44,73.21,2024-10-03 19:19:27
a23582,N241UK  ,33.3687,-116.5872,3642.36,31.59,2024-10-03 19:19:27
4b1804,SWR28L  ,46.5948,6.2392,4556.76,175.38,2024-10-03 19:19:27
4b1808,SWR2075 ,41.6066,-5.7066,10081.26,245.74,2024-10-03 19:19:27
4b1800,SWR181V ,39.206,21.2467,11559.54,216.04,2024-10-03 19:19:27
aaef60,AAL311  ,42.5902,-94.0335,11582.4,211.22,2024-10-03 19:19:27
4952ca,TAP556  ,39.0636,-8.8621,3581.4,196.28,2024-10-03 19:19:27
4952cb,TAP574  ,45.9372,-1.8174,10980.42,216.01,2024-10-03 19:19:27
4952cd,TAP755  ,49.7987,3.5082,11277.6,248.72,2024-10-03 19:19:27
a3a575,JBU1955 ,42.0491,-71.9782,7924.8,208.74,2024-10-03 19:19:27
ad3c16,AAL2124 ,37.684,-122.3617,632.46,118.06,2024-10-03 19:19:27
a5954e,UAL2673 ,40.8281,-88.5265,8061.96,213.64,2024-10-03 19:19:27
ace6b9,N930LX  ,30.6218,-92.5605,9448.8,173.77,2024-10-03 19:19:27
a1befc,UAL469  ,40.2249,-96.0842,11582.4,232.17,2024-10-03 19:19:27
a97808,N709WY  ,31.6883,-86.7247,7627.62,140.86,2024-10-03 19:19:27
a808d7,ATN3308 ,39.0401,-84.8306,1920.24,139.38,2024-10-03 19:19:27
4952c1,TAP534  ,48.8409,3.2809,10972.8,218.73,2024-10-03 19:19:27
4952c5,TAP74NA ,44.3045,-3.9765,10363.2,214.27,2024-10-03 19:19:27
4952c6,TAP783  ,58.4355,15.79,9921.24,239.26,2024-10-03 19:19:27
